experiment_id,mode,timestamp,action,step_id,step_name,short_text_viewed,long_text_viewed,single_pieces_viewed,assembly_viewed,video_viewed
10,Sentient,2025-11-12 15:19:44.780244,navigate_next,4.0,Assembly PIECE 2,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:19:44.810397,initial_suggestion,4.0,Assembly PIECE 2,1.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:19:44.847483,step_loaded,5.0,Withdraw Components for PIECE 3,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:19:55.235078,sentient_step_adapted,5.0,Withdraw Components for PIECE 3,1.0,0.0,1.0,0.0,0.0
10,Sentient,2025-11-12 15:19:55.944247,sentient_step_adapted,5.0,Withdraw Components for PIECE 3,1.0,0.0,1.0,0.0,0.0
10,Sentient,2025-11-12 15:22:36.560465,navigate_next,5.0,Withdraw Components for PIECE 3,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:22:36.583883,initial_suggestion,5.0,Withdraw Components for PIECE 3,1.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:22:36.695887,step_loaded,6.0,Assembly PIECE 3,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:22:45.528168,sentient_step_adapted,6.0,Assembly PIECE 3,1.0,0.0,0.0,1.0,0.0
10,Sentient,2025-11-12 15:22:52.664050,sentient_step_adapted,6.0,Assembly PIECE 3,1.0,0.0,0.0,1.0,0.0
10,Sentient,2025-11-12 15:27:11.274268,navigate_next,6.0,Assembly PIECE 3,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:27:11.296457,initial_suggestion,6.0,Assembly PIECE 3,1.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:27:11.389702,step_loaded,7.0,Withdraw Components for PIECE 4,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:27:21.473655,sentient_step_adapted,7.0,Withdraw Components for PIECE 4,1.0,0.0,1.0,0.0,0.0
10,Sentient,2025-11-12 15:27:25.205237,sentient_step_adapted,7.0,Withdraw Components for PIECE 4,1.0,0.0,1.0,0.0,0.0
10,Sentient,2025-11-12 15:27:30.582849,navigate_next,7.0,Withdraw Components for PIECE 4,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:27:30.600096,initial_suggestion,7.0,Withdraw Components for PIECE 4,1.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:27:30.692300,step_loaded,8.0,Assembly PIECE 4,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:27:39.179370,sentient_step_adapted,8.0,Assembly PIECE 4,1.0,0.0,0.0,1.0,0.0
10,Sentient,2025-11-12 15:27:43.469783,sentient_step_adapted,8.0,Assembly PIECE 4,1.0,0.0,0.0,1.0,0.0
10,Sentient,2025-11-12 15:31:24.663385,navigate_next,8.0,Assembly PIECE 4,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:31:24.686993,initial_suggestion,8.0,Assembly PIECE 4,1.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:31:24.850599,step_loaded,9.0,Withdraw Components for PIECE 5,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:32:04.515423,sentient_step_adapted,9.0,Withdraw Components for PIECE 5,1.0,0.0,1.0,0.0,0.0
10,Sentient,2025-11-12 15:33:24.950183,sentient_step_adapted,9.0,Withdraw Components for PIECE 5,1.0,0.0,1.0,0.0,0.0
10,Sentient,2025-11-12 15:33:41.927789,navigate_next,9.0,Withdraw Components for PIECE 5,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:33:41.947642,initial_suggestion,9.0,Withdraw Components for PIECE 5,1.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:33:41.987463,step_loaded,10.0,Assembly PIECE 5,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:33:50.094094,sentient_step_adapted,10.0,Assembly PIECE 5,1.0,0.0,0.0,1.0,0.0
10,Sentient,2025-11-12 15:33:51.238714,sentient_step_adapted,10.0,Assembly PIECE 5,1.0,0.0,0.0,1.0,0.0
10,Sentient,2025-11-12 15:34:44.765732,navigate_next,10.0,Assembly PIECE 5,0.0,0.0,0.0,0.0,0.0
10,Sentient,2025-11-12 15:34:44.792128,initial_suggestion,10.0,Assembly PIECE 5,1.0,0.0,0.0,0.0,0.0
